,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,kfold
26679,95.52,167.64,55.13,57.84,52.94,1.56,20.52,97.74,267.0,4
26680,39.81,138.9,1.14,18.58,7.81,0.44,13.03,51.98,122.0,4
26681,21.1,9.35,0.53,1.7,1.76,0.38,3.98,18.38,89.33333333333333,4
26682,93.18,213.01,21.82,63.07,18.96,1.52,12.21,52.3,200.0,4
26683,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26684,17.98,82.13333333333333,28.97,3.61,21.87,2.68,5.44,21.32,111.0,4
26685,67.69,129.23,17.39,37.28,22.86,0.62,9.16,24.96,118.0,4
26686,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
26687,30.67,60.71333333333333,11.01,13.33,22.27,0.91,7.04,9.85,104.0,4
26688,45.82,57.87,11.78,25.209999999999997,8.42,0.3,9.01,46.19,77.0,4
26689,52.18,107.04,9.84,36.58,18.58,1.13,4.99,45.42,123.0,4
26690,107.81,154.18,35.14,47.95,33.72,1.77,35.24,31.6,262.0,4
26691,147.77,270.1,96.96,35.25,8.46,2.47,6.53,26.29,324.0,4
26692,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
26693,252.47,64.38,3.09,0.64,11.16,1.08,6.0,31.4,216.0,4
26694,40.74,106.84,7.75,33.3,9.25,0.63,12.61,25.08,117.0,4
26695,64.29,100.07,8.74,28.97,16.0,0.85,5.34,64.73,127.0,4
26696,32.98,41.89,6.77,10.29,11.986666666666666,0.15,16.69,2.56,103.66666666666667,4
26697,47.85,42.02333333333333,4.18,14.43,6.56,0.17,6.96,62.21,105.0,4
26698,47.08,95.75,12.92,43.61,26.27,0.78,10.5,43.58,104.0,4
26699,45.62,100.26,61.87,17.46,13.04,1.71,15.42,58.28,114.0,4
26700,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
26701,80.79,197.81000000000003,12.98,16.3,10.7,6.35,5.7,19.22,172.0,4
26702,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
